"x","y","u"
0.6,4.5,131.5519
0.6,4.6,131.104634
0.6,4.7,130.670508
0.6,4.8,130.250056
0.6,4.9,129.843675
0.6,5,129.451642
0.6,5.1,129.074124
0.6,5.2,128.711192
0.6,5.3,128.36283
0.6,5.4,128.028949
0.6,5.5,127.709394
0.6,5.6,127.403954
0.6,5.7,127.11237
0.6,5.8,126.834343
0.6,5.9,126.569541
0.6,6,126.317604
0.6,6.1,126.078148
0.6,6.2,125.850777
0.6,6.3,125.635077
0.6,6.4,125.43063
0.6,6.5,125.237009
0.6,6.6,125.053789
0.6,6.7,124.880542
0.6,6.8,124.716846
0.6,6.9,124.562281
0.6,7,124.416435
0.6,7.1,124.278906
0.6,7.2,124.149298
0.6,7.3,124.027227
0.6,7.4,123.912319
0.6,7.5,123.804214
0.6,7.6,123.70256
0.6,7.7,123.607022
0.6,7.8,123.517275
0.6,7.9,123.433005
0.6,8,123.353916
0.6,8.1,123.279719
0.6,8.2,123.210142
0.6,8.3,123.144921
0.6,8.4,123.08381
0.6,8.5,123.026568
0.6,8.6,122.972971
0.6,8.7,122.922805
0.6,8.8,122.875864
0.6,8.9,122.831955
0.6,9,122.790897
0.6,9.1,122.752514
0.6,9.2,122.716643
0.6,9.3,122.68313
0.6,9.4,122.651827
0.6,9.5,122.622596
0.6,9.6,122.595308
0.6,9.7,122.569839
0.6,9.8,122.546074
0.6,9.9,122.523904
0.6,10,122.503226
0.7,0.8,127.027264
0.7,0.9,129.235827
0.7,1,131.214392
0.7,1.1,132.975541
0.7,1.2,134.531722
0.7,1.3,135.895213
0.7,1.4,137.078083
0.7,1.5,138.092162
0.7,1.6,138.949002
0.7,1.7,139.659857
0.7,1.8,140.235644
0.7,1.9,140.686926
0.7,2,141.023888
0.7,2.1,141.256317
0.7,2.2,141.393587
0.7,2.3,141.444647
0.7,2.4,141.418011
0.7,2.5,141.321752
0.7,2.6,141.163497
0.7,2.7,140.950429
0.7,2.8,140.689288
0.7,2.9,140.386375
0.7,3,140.047558
0.7,3.1,139.678284
0.7,3.2,139.283587
0.7,3.3,138.868102
0.7,3.4,138.436079
0.7,3.5,137.991398
0.7,3.6,137.537582
0.7,3.7,137.077819
0.7,3.8,136.614976
0.7,3.9,136.151617
0.7,4,135.690023
0.7,4.1,135.232208
0.7,4.2,134.779935
0.7,4.3,134.334738
0.7,4.4,133.897938
0.7,4.5,133.470655
0.7,4.6,133.053831
0.7,4.7,132.648241
0.7,4.8,132.25451
0.7,4.9,131.873125
0.7,5,131.504451
0.7,5.1,131.148742
0.7,5.2,130.806152
0.7,5.3,130.476751
0.7,5.4,130.160527
0.7,5.5,129.857403
0.7,5.6,129.567241
0.7,5.7,129.289855
0.7,5.8,129.025013
0.7,5.9,128.772447
0.7,6,128.531857
0.7,6.1,128.302922
0.7,6.2,128.085296
0.7,6.3,127.878621
0.7,6.4,127.682526
0.7,6.5,127.496633
0.7,6.6,127.320557
0.7,6.7,127.153914
0.7,6.8,126.996319
0.7,6.9,126.847389
0.7,7,126.706746
0.7,7.1,126.574017
0.7,7.2,126.448838
0.7,7.3,126.330851
0.7,7.4,126.21971
0.7,7.5,126.115075
0.7,7.6,126.01662
0.7,7.7,125.924028
0.7,7.8,125.836993
0.7,7.9,125.755222
0.7,8,125.678431
0.7,8.1,125.60635
0.7,8.2,125.538719
0.7,8.3,125.475289
0.7,8.4,125.415823
0.7,8.5,125.360096
0.7,8.6,125.30789
0.7,8.7,125.259002
0.7,8.8,125.213236
0.7,8.9,125.170408
0.7,9,125.13034
0.7,9.1,125.092868
0.7,9.2,125.057834
0.7,9.3,125.025088
0.7,9.4,124.99449
0.7,9.5,124.965906
0.7,9.6,124.939211
0.7,9.7,124.914287
0.7,9.8,124.891021
0.7,9.9,124.869309
0.7,10,124.849051
0.8,0.9,128.807576
0.8,1,130.809114
0.8,1.1,132.602556
0.8,1.2,134.199231
0.8,1.3,135.610363
0.8,1.4,136.847028
0.8,1.5,137.920123
0.8,1.6,138.840335
0.8,1.7,139.618107
0.8,1.8,140.26361
0.8,1.9,140.786721
0.8,2,141.196996
0.8,2.1,141.503651
0.8,2.2,141.715545
0.8,2.3,141.841162
0.8,2.4,141.888607
0.8,2.5,141.865589
0.8,2.6,141.779418
0.8,2.7,141.637003
0.8,2.8,141.444851
0.8,2.9,141.209066
0.8,3,140.935357
0.8,3.1,140.62904
0.8,3.2,140.295052
0.8,3.3,139.937954
0.8,3.4,139.561946
0.8,3.5,139.17088
0.8,3.6,138.768271
0.8,3.7,138.357316
0.8,3.8,137.940903
0.8,3.9,137.521632
0.8,4,137.101829
0.8,4.1,136.683562
0.8,4.2,136.26866
0.8,4.3,135.858722
0.8,4.4,135.455142
0.8,4.5,135.059118
0.8,4.6,134.671669
0.8,4.7,134.293653
0.8,4.8,133.925775
0.8,4.9,133.568603
0.8,5,133.222584
0.8,5.1,132.888052
0.8,5.2,132.565238
0.8,5.3,132.254289
0.8,5.4,131.955267
0.8,5.5,131.668168
0.8,5.6,131.392923
0.8,5.7,131.129412
0.8,5.8,130.877468
0.8,5.9,130.636883
0.8,6,130.407417
0.8,6.1,130.188802
0.8,6.2,129.980747
0.8,6.3,129.782942
0.8,6.4,129.595065
0.8,6.5,129.41678
0.8,6.6,129.247746
0.8,6.7,129.087617
0.8,6.8,128.936046
0.8,6.9,128.792684
0.8,7,128.657185
0.8,7.1,128.529209
0.8,7.2,128.408417
0.8,7.3,128.294481
0.8,7.4,128.187076
0.8,7.5,128.085889
0.8,7.6,127.990612
0.8,7.7,127.900951
0.8,7.8,127.816617
0.8,7.9,127.737335
0.8,8,127.662837
0.8,8.1,127.592868
0.8,8.2,127.527181
0.8,8.3,127.465542
0.8,8.4,127.407723
0.8,8.5,127.353512
0.8,8.6,127.302701
0.8,8.7,127.255096
0.8,8.8,127.21051
0.8,8.9,127.168766
0.8,9,127.129697
0.8,9.1,127.093142
0.8,9.2,127.05895
0.8,9.3,127.026978
0.8,9.4,126.997091
0.8,9.5,126.969161
0.8,9.6,126.943067
0.8,9.7,126.918694
0.8,9.8,126.895934
0.8,9.9,126.874687
0.8,10,126.854855
0.9,1,130.293881
0.9,1.1,132.108175
0.9,1.2,133.734126
0.9,1.3,135.18195
0.9,1.4,136.46177
0.9,1.5,137.583587
0.9,1.6,138.557244
0.9,1.7,139.392399
0.9,1.8,140.098493
0.9,1.9,140.684726
0.9,2,141.160032
0.9,2.1,141.53306
0.9,2.2,141.81215
0.9,2.3,142.005322
0.9,2.4,142.120259
0.9,2.5,142.164299
0.9,2.6,142.144424
0.9,2.7,142.067256
0.9,2.8,141.939053
0.9,2.9,141.76571
0.9,3,141.552758
0.9,3.1,141.305369
0.9,3.2,141.028363
0.9,3.3,140.72621
0.9,3.4,140.403046
0.9,3.5,140.062679
0.9,3.6,139.708598
0.9,3.7,139.343992
0.9,3.8,138.971759
0.9,3.9,138.594517
0.9,4,138.214626
0.9,4.1,137.834196
0.9,4.2,137.455102
0.9,4.3,137.079003
0.9,4.4,136.707354
0.9,4.5,136.341419
0.9,4.6,135.982288
0.9,4.7,135.630886
0.9,4.8,135.287994
0.9,4.9,134.954254
0.9,5,134.630184
0.9,5.1,134.316192
0.9,5.2,134.012583
0.9,5.3,133.719572
0.9,5.4,133.437292
0.9,5.5,133.165804
0.9,5.6,132.905106
0.9,5.7,132.65514
0.9,5.8,132.415799
0.9,5.9,132.186932
0.9,6,131.968356
0.9,6.1,131.759853
0.9,6.2,131.561185
0.9,6.3,131.372087
0.9,6.4,131.192282
0.9,6.5,131.021479
0.9,6.6,130.859374
0.9,6.7,130.705662
0.9,6.8,130.560028
0.9,6.9,130.422158
0.9,7,130.291739
0.9,7.1,130.168458
0.9,7.2,130.052005
0.9,7.3,129.942076
0.9,7.4,129.838373
0.9,7.5,129.740602
0.9,7.6,129.648479
0.9,7.7,129.561726
0.9,7.8,129.480076
0.9,7.9,129.403268
0.9,8,129.331051
0.9,8.1,129.263184
0.9,8.2,129.199435
0.9,8.3,129.13958
0.9,8.4,129.083406
0.9,8.5,129.030708
0.9,8.6,128.981292
0.9,8.7,128.93497
0.9,8.8,128.891565
0.9,8.9,128.850907
0.9,9,128.812838
0.9,9.1,128.777202
0.9,9.2,128.743856
0.9,9.3,128.712663
0.9,9.4,128.683491
0.9,9.5,128.656219
0.9,9.6,128.630729
0.9,9.7,128.606911
0.9,9.8,128.584662
0.9,9.9,128.563884
0.9,10,128.544484
1,1.1,131.507042
1,1.2,133.151924
1,1.3,134.626293
1,1.4,135.939367
1,1.5,137.100283
1,1.6,138.118075
1,1.7,139.001639
1,1.8,139.759705
1,1.9,140.400811
1,2,140.933281
1,2.1,141.365199
1,2.2,141.704391
1,2.3,141.958409
1,2.4,142.134514
1,2.5,142.239665
1,2.6,142.280506
1,2.7,142.263362
1,2.8,142.194233
1,2.9,142.078788
1,3,141.922368
1,3.1,141.729986
1,3.2,141.506329
1,3.3,141.255765
1,3.4,140.982347
1,3.5,140.689822
1,3.6,140.381643
1,3.7,140.060976
1,3.8,139.73071
1,3.9,139.393473
1,4,139.051642
1,4.1,138.707356
1,4.2,138.362529
1,4.3,138.018866
1,4.4,137.67787
1,4.5,137.340863
1,4.6,137.008994
1,4.7,136.683253
1,4.8,136.364482
1,4.9,136.053391
1,5,135.750564
1,5.1,135.456475
1,5.2,135.171495
1,5.3,134.895905
1,5.4,134.629901
1,5.5,134.373607
1,5.6,134.12708
1,5.7,133.890322
