"x","u"
7.19,101.767719
7.2,101.753352
7.21,101.737128
7.22,101.721681
7.23,101.708596
7.24,101.692512
7.25,101.679042
7.26,101.664393
7.27,101.649909
7.28,101.635045
7.29,101.621303
7.3,101.607209
7.31,101.592734
7.32,101.578199
7.33,101.564954
7.34,101.551306
7.35,101.537403
7.36,101.523264
7.37,101.51007
7.38,101.497406
7.39,101.482899
7.4,101.469869
7.41,101.457057
7.42,101.444271
7.43,101.431692
7.44,101.418307
7.45,101.405128
7.46,101.393076
7.47,101.379876
7.48,101.367743
7.49,101.354991
7.5,101.342494
7.51,101.329717
7.52,101.318245
7.53,101.30529
7.54,101.29361
7.55,101.280922
7.56,101.269695
7.57,101.257773
7.58,101.246333
7.59,101.234434
7.6,101.22246
7.61,101.211617
7.62,101.199659
7.63,101.188523
7.64,101.177182
7.65,101.16598
7.66,101.15445
7.67,101.144378
7.68,101.132961
7.69,101.121054
7.7,101.110285
7.71,101.099297
7.72,101.088757
7.73,101.079364
7.74,101.066997
7.75,101.056772
7.76,101.046531
7.77,101.03639
7.78,101.026125
7.79,101.01589
7.8,101.006194
7.81,100.995221
7.82,100.985354
7.83,100.97498
7.84,100.96533
7.85,100.955483
7.86,100.946886
7.87,100.936065
7.88,100.926689
7.89,100.916861
7.9,100.907729
7.91,100.898668
7.92,100.889229
7.93,100.879327
7.94,100.869993
7.95,100.859867
7.96,100.852135
7.97,100.841835
7.98,100.833495
7.99,100.825604
8,100.815325
8.01,100.807151
8.02,100.798251
8.03,100.789713
8.04,100.780978
8.05,100.772353
8.06,100.763552
8.07,100.755325
8.08,100.746372
8.09,100.73887
8.1,100.730838
8.11,100.721425
8.12,100.714594
8.13,100.704827
8.14,100.696639
8.15,100.689629
8.16,100.681068
8.17,100.672648
8.18,100.665476
8.19,100.657837
8.2,100.650022
8.21,100.642853
8.22,100.6341
8.23,100.62704
8.24,100.619645
8.25,100.611841
8.26,100.605366
8.27,100.59666
8.28,100.589862
8.29,100.582666
8.3,100.575503
8.31,100.567318
8.32,100.560988
8.33,100.553564
8.34,100.546357
8.35,100.539513
8.36,100.532216
8.37,100.525663
8.38,100.518546
8.39,100.511459
8.4,100.505834
8.41,100.498707
8.42,100.490608
8.43,100.484973
8.44,100.477975
8.45,100.471621
8.46,100.465281
8.47,100.45853
8.48,100.453162
8.49,100.44578
8.5,100.438835
8.51,100.433819
8.52,100.427356
8.53,100.421677
8.54,100.414872
8.55,100.408684
8.56,100.402037
8.57,100.39703
8.58,100.391563
8.59,100.384817
8.6,100.37852
8.61,100.37296
8.62,100.367175
8.63,100.360791
8.64,100.355403
8.65,100.349333
8.66,100.344148
8.67,100.338014
8.68,100.333131
8.69,100.327089
8.7,100.322223
8.71,100.316063
8.72,100.310342
8.73,100.305482
8.74,100.300725
8.75,100.294962
8.76,100.28938
8.77,100.284233
8.78,100.279733
8.79,100.274165
8.8,100.268977
8.81,100.26371
8.82,100.257738
8.83,100.253674
8.84,100.248201
8.85,100.243204
8.86,100.238756
8.87,100.233912
8.88,100.229235
8.89,100.223948
8.9,100.219034
8.91,100.215283
8.92,100.209593
8.93,100.204726
8.94,100.200137
8.95,100.195648
8.96,100.191745
8.97,100.187229
