"x","y","u","type"
0.6,5.8,126.979516363841,"GP"
0.6,5.9,126.362057235925,"GP"
0.6,6,125.749027773308,"GP"
0.6,6.1,125.149338577485,"GP"
0.6,6.2,124.57161827652,"GP"
0.6,6.3,124.023839053858,"GP"
0.6,6.4,123.512973037089,"GP"
0.6,6.5,123.044696648014,"GP"
0.6,6.6,122.623157341918,"GP"
0.6,6.7,122.25081371984,"GP"
0.6,6.8,121.928355993636,"GP"
0.6,6.9,121.654709461829,"GP"
0.6,7,121.427119272126,"GP"
0.6,7.1,121.241310559531,"GP"
0.6,7.2,121.091714294652,"GP"
0.6,7.3,120.97174605916,"GP"
0.6,7.4,120.874122643765,"GP"
0.6,7.5,120.79119994339,"GP"
0.6,7.6,120.715315151264,"GP"
0.6,7.7,120.639116715741,"GP"
0.6,7.8,120.555866852411,"GP"
0.6,7.9,120.459703482514,"GP"
0.6,8,120.345851140954,"GP"
0.6,8.1,120.210773480466,"GP"
0.6,8.2,120.052263296483,"GP"
0.6,8.3,119.869469312598,"GP"
0.6,8.4,119.662862114187,"GP"
0.6,8.5,119.434144434693,"GP"
0.6,8.6,119.186113353536,"GP"
0.6,8.7,118.922483761613,"GP"
0.6,8.8,118.647683634704,"GP"
0.6,8.9,118.366632211283,"GP"
0.6,9,118.084512121646,"GP"
0.6,9.1,117.806545914626,"GP"
0.6,9.2,117.53778635779,"GP"
0.6,9.3,117.282928447288,"GP"
0.6,9.4,117.046149365827,"GP"
0.6,9.5,116.830980786054,"GP"
0.6,9.6,116.640216043026,"GP"
0.6,9.7,116.475852893809,"GP"
0.6,9.8,116.339070930612,"GP"
0.6,9.9,116.230241283734,"GP"
0.6,10,116.14896508963,"GP"
0.7,0.8,137.007834993033,"GP"
0.7,0.9,137.20498639795,"GP"
0.7,1,137.437288106973,"GP"
0.7,1.1,137.697846282831,"GP"
0.7,1.2,137.979028538902,"GP"
0.7,1.3,138.272639318135,"GP"
0.7,1.4,138.570119478285,"GP"
0.7,1.5,138.86276471619,"GP"
0.7,1.6,139.141956508389,"GP"
0.7,1.7,139.399398458023,"GP"
0.7,1.8,139.627350356248,"GP"
0.7,1.9,139.818851923446,"GP"
0.7,2,139.967928119426,"GP"
0.7,2.1,140.069768124002,"GP"
0.7,2.2,140.120870603961,"GP"
0.7,2.3,140.119148704599,"GP"
0.7,2.4,140.063989328752,"GP"
0.7,2.5,139.95626267706,"GP"
0.7,2.6,139.7982796911,"GP"
0.7,2.7,139.593696923136,"GP"
0.7,2.8,139.347370396086,"GP"
0.7,2.9,139.065162144391,"GP"
0.7,3,138.753705257828,"GP"
0.7,3.1,138.420135292403,"GP"
0.7,3.2,138.07179776454,"GP"
0.7,3.3,137.715943003166,"GP"
0.7,3.4,137.359420797823,"GP"
0.7,3.5,137.008387957093,"GP"
0.7,3.6,136.668042003208,"GP"
0.7,3.7,136.342393720542,"GP"
0.7,3.8,136.034090120685,"GP"
0.7,3.9,135.744297591262,"GP"
0.7,4,135.472652602689,"GP"
0.7,4.1,135.217284437875,"GP"
0.7,4.2,134.974911103059,"GP"
0.7,4.3,134.741006025226,"GP"
